user,latitude,longitude
jackieboursche2,48.89591955,2.38033725
IsabAmaglio,48.8595262,2.3186056
120lazone,48.92936,2.3819645
Antlstar,48.89381604,2.27816694
jfaisdesvagues,48.86056285,2.35173393
kartenquizde,48.8567,2.35099
MiguelDeSousa8,48.8469802,2.28519724
BeverlyIDF,48.86483,2.37738
120lazone,48.9293413,2.3819639
willy_unkown,48.8668448,2.32204792
kpricieuse,48.87057148,2.29372024
sloub18,48.86880525,2.31380871
amandedouce_,48.8449788,2.23727193
Antlstar,48.8938234,2.27816601
jhenksyd,48.87117933,2.30296612
candelanovembre,48.88574508,2.30664929
PamelaVictoriaZ,48.86140923,2.32484453
jackieboursche2,48.89584866,2.3802219
MeydardB,48.767748,2.32239851
temps_modernes,48.86027255,2.31639464
BCritique,48.844424,2.340211
kartenquizde,48.8567,2.35099
120lazone,48.9293353,2.3819639
LANVINofficial,48.86656702,2.29699339
Lutz_Huelle,48.86182852,2.35584436
Hindalharbi_,48.87117933,2.30296612
TaylorEquils,48.85285203,2.34591569
DaSNyB,48.91837833,2.35147865
alessiosanzogni,48.87850947,2.35606371
trendinaliaFR,48.8569,2.3412
120lazone,48.9293579,2.3819222
patrikhson,48.8265085,2.34633181
Anoumak,48.8567,2.3508
SusanaVoguePT,48.8710098,2.2933199
justashleylove1,48.8638479,2.3812893
mimia77,48.86437131,2.29666241
zedgra,48.86917721,2.34116714
Bracci,48.84342167,2.31089167
amandedouce_,48.84500064,2.23721189
AlexandreCalais,48.896389,2.31845
Maady18,48.89712682,2.33164864
120lazone,48.9293419,2.3819646
beijingbonheur,48.8549004,2.3591199
amandedouce_,48.84496388,2.23729925
jackieboursche2,48.89582158,2.38033167
GlblCanuck,48.84170424,2.32814656
120lazone,48.9293419,2.3819646
edenou_chetrit,48.81393644,2.21142895
djioulsz,48.86095806,2.364639
120lazone,48.9293419,2.3819646
kartenquizde,48.8567,2.35099
EmericVGR,48.8487446,2.4588561
beijingbonheur,48.8549004,2.3591199
EmericVGR,48.8487446,2.4588561
Maady18,48.89709878,2.33157902
NoaNews6,48.84032071,2.33456381
benjaminbarrier,48.87517,2.316813
zedgra,48.87409605,2.31012295
amandedouce_,48.84503661,2.23726326
120lazone,48.9293419,2.3819646
Anna_Mnk,48.84299375,2.32270843
sidbrady,48.8590256,2.29811714
amandedouce_,48.84496201,2.23727788
Cynthia_Slg,48.81290952,2.30617672
Rikasharsa,48.8626,2.33683
lesnums_rss,48.89235907,2.37007244
lesnums_rss,48.89235907,2.37007244
Cynthia_Slg,48.81290952,2.30617672
Gekko_Hopman,48.84692561,2.33777234
MeydardB,48.76772197,2.32233151
beijingbonheur,48.8549004,2.3591199
QuentinLafon,48.86533585,2.29356766
AnasKerrou,48.90865,2.3865624
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
AnasKerrou,48.9086403,2.3865615
18emePanam,48.8881523,2.36223584
kartenquizde,48.8567,2.35099
TransitFeeds,48.856614,2.352222
burrisfilm,48.85799696,2.29611311
anne_Imb,48.8331888,2.2939365
mamigorota,48.83976746,2.29969788
tmj_fra_adv,48.9220615,2.2533313
diayre,48.8058891,2.28228
ThomasBarbelet,48.88554798,2.29703198
adrien_mca,48.9902093,2.4151022
goutdfood,48.8663101,2.3099999
dhbaquedano,48.8753319,2.3482399
mullerchantal2,48.889999,2.3870107
tanukichi10,48.86666062,2.33111143
mullerchantal2,48.89026964,2.38672223
fmolossi93,48.90832547,2.4526188
fmolossi93,48.9067318,2.4519561
AlainBAUDRY1,48.8939855,2.3217859
beijingbonheur,48.8549004,2.3591199
Marine_Tchikaya,48.87252289,2.27590644
AudreyBTiranti,48.83204024,2.25713937
kartenquizde,48.8567,2.35099
NoaNews6,48.84041211,2.33458341
beijingbonheur,48.8549004,2.3591199
Torres_Juan13,48.882255,2.337573
_THUD_,48.8205922,2.4068084
hector_herca,48.88111111,2.38305556
beijingbonheur,48.8549004,2.3591199
6rvan_,48.80933087,2.41596708
ptext,48.856614,2.352222
mullerchantal2,48.8902392,2.38671426
joe_chia,48.8590256,2.29811714
mullerchantal2,48.89025576,2.3867209
RJdev,48.8511583,2.3734105
kartenquizde,48.8567,2.35099
remixjobs,48.8511583,2.3734105
beijingbonheur,48.8549004,2.3591199
RJdev,48.8856017,2.306999
remixjobs,48.8856017,2.306999
SOFIA___SOFI,48.88416667,2.3325
ivanvictorlucas,48.86151313,2.33418756
alethiaop,48.84078491,2.32931902
JeanneSay,48.88910241,2.3319179
LaVieDeReves,48.8219531,2.2716404
Azertyytrezz,48.86278872,2.23303032
iivychaang,48.8663101,2.3099999
chien_perdu,48.87507711,2.34100188
BenoitMen,48.87535687,2.32498169
Cynthia_Slg,48.81288476,2.30612926
_ParisFR,48.85693,2.3412
dadoonet,48.87236027,2.2906952
JuliaAlethea,48.86437131,2.29666241
TomekTR,48.89010414,2.23566025
Misaki94,48.889896,2.24181443
kartenquizde,48.8567,2.35099
Antlstar,48.89301563,2.27700166
nailat_djae,48.7737337,2.34261856
HillmanMarc,48.87580358,2.34115373
BeverlyIDF,48.87483,2.35738
BenoitMen,48.87561089,2.32459545
evabensimhon1,48.86278872,2.23303032
chat_perdu,48.8984281,2.2025342
mbulleb,48.86257,2.35934
rubenwo,48.86278872,2.23303032
jadabalaban,48.86136682,2.35853677
alancloiseau,48.83950974,2.39994305
BikoiBrandy,48.9667697,2.3167738
Cynthia_Slg,48.81293935,2.30622832
120lazone,48.9293372,2.3819845
CharlesHoss,48.87085871,2.34747701
Showbitcom,48.87133531,2.30348925
DaSNyB,48.91837833,2.35147865
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
EvaDrfs,48.8457412,2.24189187
indi_flx,48.8637704,2.2984288
B2Onaparte,48.835237,2.241131
PaupauGagnier,48.87272821,2.36324875
kartenquizde,48.8567,2.35099
EcoleModart,48.86744979,2.30644089
Antlstar,48.89347267,2.2773702
sidbrady,48.8590256,2.29811714
120lazone,48.9293248,2.3819838
nousrestaurant,48.87473631,2.35367964
richpease,48.85728582,2.34147727
Sebsabot,48.862261,2.3032085
EcoleModart,48.87133531,2.30348925
120lazone,48.9293446,2.3819654
Str1975,48.8710098,2.2933199
natashasoria2,48.86278872,2.23303032
sidbrady,48.8590256,2.29811714
Cynthia_Slg,48.81288641,2.3062034
VanessKitty,48.91473231,2.18625719
RiixMan,48.8081386,2.3272397
MarilynFeltz,48.87755513,2.39024162
120lazone,48.9293442,2.3819715
RFMORGADO94,48.8,2.43333
karacininta,48.86056,2.29576
titlap,48.91692734,2.35577823
SerenaStifler,48.89966007,2.36847975
diayre,48.8058891,2.28228
120lazone,48.9293452,2.3819583
ClicParis,48.8607855,2.3189282
120lazone,48.9293463,2.3819697
RiixMan,48.8081457,2.3272414
krizsa,48.87068655,2.35654877
iheartparisfr,48.85002877,2.29911032
coletteparis,48.8654537,2.33100687
Sebsabot,48.862261,2.3032085
RiixMan,48.8081491,2.3272433
SerenaStifler,48.89966843,2.36846074
Hindalharbi_,48.85816465,2.29442596
SerenaStifler,48.89966843,2.36846074
tanukichi10,48.86746548,2.32942343
jackkhalil,48.8342255,2.3461229
SerenaStifler,48.89967743,2.36847749
HydroponikWeed,48.879167,2.309167
120lazone,48.9293412,2.381964
lionelrigal,48.852338,2.343907
anesnouf,48.85162552,2.33956098
HillmanMarc,48.87565908,2.34171506
lesnums_rss,48.89235907,2.37007244
lesnums_rss,48.89235907,2.37007244
lionelrigal,48.84936865,2.34212637
lionelrigal,48.85333975,2.34382689
hareithZ,48.86299262,2.28702307
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
AndyMorse,48.84966517,2.30617404
lionelrigal,48.85339269,2.34399319
trendinaliaFR,48.8569,2.3412
anamdo,48.86373685,2.3713586
ChantalTV,48.86451258,2.37858094
AndyMorse,48.84889908,2.30587506
RiixMan,48.8081414,2.3272296
Str1975,48.86615618,2.31236463
GaetanGrieves,48.882237,2.266626
TineLeys,48.8681297,2.3738599
tanukichi10,48.87094998,2.33216196
holivier,48.93760714,2.31028026
120lazone,48.9293518,2.3819461
trendinaliaPAR,48.8569,2.3412
pictoursparis,48.85166667,2.35638889
hapooms,48.85049691,2.29145307
Sebsabot,48.862261,2.3032085
trendinaliaFR,48.8569,2.3412
120lazone,48.9293518,2.3819461
areabox,48.86996385,2.36407427
Sebsabot,48.862261,2.3032085
crayoobora,48.86064928,2.33708382
Cynthia_Slg,48.81288691,2.3061732
girlinthelens,48.86023843,2.3259528
Sibitchu,48.880799,2.2743317
Valentinjoliff,48.8658485,2.34993
diayre,48.92272689,2.24598751
oh_wick,48.8849325,2.33731889
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
milanomell,48.86086592,2.35209696
Cynthia_Slg,48.81293943,2.30616818
JulienParis86,48.851659,2.419224
Cynthia_Slg,48.81293943,2.30616818
Rayanehdm,48.96962873,2.28951029
kmitre10,48.84425962,2.46265722
kmitre10,48.84425962,2.46265722
lignesNetU_SNCF,48.83946302,2.31715309
LoraTerrazas,48.8588365,2.3518326
aMarolles,48.82162377,2.36853742
DELARUEEm,48.8738115,2.3406574
RidgeRoi,48.89268293,2.37333302
oh_wick,48.8849303,2.33731661
OOGYWAWA_NET,48.8263179,2.32678561
aMarolles,48.82161168,2.36828781
trainvegas,48.87700632,2.32497072
jemdubois,48.86615618,2.31236463
Misslolipod,48.7764078,2.4563291
tverrecchia,48.8582497,2.3130379
NailClubFrance,48.8682404,2.37517
jackieboursche2,48.89583936,2.38038901
